Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1993,1993,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1994,1994,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1995,1995,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1996,1996,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1997,1997,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1998,1998,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",1999,1999,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2000,2000,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2001,2001,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2002,2002,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2003,2003,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2004,2004,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2005,2005,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2006,2006,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2007,2007,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2008,2008,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2009,2009,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2010,2010,ha,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,711,"Anise, badian, fennel, coriander",2011,2011,ha,,M,Data not available
