Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1961,1961,tonnes,600,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1962,1962,tonnes,300,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1963,1963,tonnes,300,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1964,1964,tonnes,300,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1965,1965,tonnes,300,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1966,1966,tonnes,300,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1967,1967,tonnes,300,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1968,1968,tonnes,300,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1969,1969,tonnes,300,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1970,1970,tonnes,300,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1971,1971,tonnes,400,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1972,1972,tonnes,400,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1973,1973,tonnes,500,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1974,1974,tonnes,600,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1975,1975,tonnes,800,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1976,1976,tonnes,800,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1977,1977,tonnes,1000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1978,1978,tonnes,800,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1979,1979,tonnes,600,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1980,1980,tonnes,400,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1981,1981,tonnes,200,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1982,1982,tonnes,0,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1990,1990,tonnes,0,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1991,1991,tonnes,0,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1992,1992,tonnes,0,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1993,1993,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1994,1994,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1995,1995,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1996,1996,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1997,1997,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1998,1998,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",1999,1999,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2000,2000,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2001,2001,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2002,2002,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2003,2003,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2004,2004,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2005,2005,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2006,2006,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2007,2007,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2008,2008,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2009,2009,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2010,2010,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2011,2011,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2012,2012,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2013,2013,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2014,2014,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2015,2015,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2016,2016,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2017,2017,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2018,2018,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2019,2019,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,711,"Anise, badian, fennel, coriander",2020,2020,tonnes,,M,Data not available
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1961,1961,tonnes,62995,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1962,1962,tonnes,55882,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1963,1963,tonnes,58931,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1964,1964,tonnes,56898,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1965,1965,tonnes,46738,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1966,1966,tonnes,24385,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1967,1967,tonnes,26925,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1968,1968,tonnes,28449,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1969,1969,tonnes,26400,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1970,1970,tonnes,26385,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1971,1971,tonnes,23369,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1972,1972,tonnes,21448,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1973,1973,tonnes,21550,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1974,1974,tonnes,21419,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1975,1975,tonnes,22424,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1976,1976,tonnes,23765,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,226,Areca nuts,1977,1977,tonnes,25665,,Official data
