Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1961,1961,ha,60299,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1962,1962,ha,57466,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1963,1963,ha,55847,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1964,1964,ha,51800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1965,1965,ha,51396,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1966,1966,ha,54600,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1967,1967,ha,59100,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1968,1968,ha,61500,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1969,1969,ha,68400,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1970,1970,ha,70000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1971,1971,ha,73200,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1972,1972,ha,71669,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1973,1973,ha,90000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1974,1974,ha,110000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1975,1975,ha,130000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1976,1976,ha,160000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1977,1977,ha,191000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1978,1978,ha,140000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1979,1979,ha,127000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1980,1980,ha,128000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1981,1981,ha,128000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1982,1982,ha,116000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1983,1983,ha,118000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1984,1984,ha,113300,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1985,1985,ha,108900,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1986,1986,ha,103634,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1987,1987,ha,103691,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1988,1988,ha,103044,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1989,1989,ha,102759,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1990,1990,ha,102867,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,191,Chick peas,1991,1991,ha,96714,,Official data
