Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1961,1961,tonnes,36576,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1962,1962,tonnes,37592,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1963,1963,tonnes,34544,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1964,1964,tonnes,33528,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1965,1965,tonnes,37592,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1966,1966,tonnes,43700,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1967,1967,tonnes,48800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1968,1968,tonnes,47800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1969,1969,tonnes,54900,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1970,1970,tonnes,57900,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1971,1971,tonnes,61000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1972,1972,tonnes,59520,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1973,1973,tonnes,60000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1974,1974,tonnes,75000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1975,1975,tonnes,90000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1976,1976,tonnes,112000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1977,1977,tonnes,125000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1978,1978,tonnes,105000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1979,1979,tonnes,95000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1980,1980,tonnes,85000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1981,1981,tonnes,81000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1982,1982,tonnes,78000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1983,1983,tonnes,87000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1984,1984,tonnes,86800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1985,1985,tonnes,81200,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1986,1986,tonnes,77579,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1987,1987,tonnes,81710,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1988,1988,tonnes,74568,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1989,1989,tonnes,66156,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1990,1990,tonnes,70120,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1991,1991,tonnes,71005,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1992,1992,tonnes,64680,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1993,1993,tonnes,67375,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1994,1994,tonnes,62000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1995,1995,tonnes,62000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1996,1996,tonnes,62000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1997,1997,tonnes,61485,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1998,1998,tonnes,59900,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,1999,1999,tonnes,15000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,2000,2000,tonnes,14000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,2001,2001,tonnes,14000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,2002,2002,tonnes,11000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,2003,2003,tonnes,11000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,2004,2004,tonnes,10000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,191,Chick peas,2005,2005,tonnes,9630,,Official data
