Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1961,1961,hg/ha,6066,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1962,1962,hg/ha,6542,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1963,1963,hg/ha,6185,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1964,1964,hg/ha,6473,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1965,1965,hg/ha,7314,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1966,1966,hg/ha,8004,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1967,1967,hg/ha,8257,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1968,1968,hg/ha,7772,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1969,1969,hg/ha,8026,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1970,1970,hg/ha,8271,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1971,1971,hg/ha,8333,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1972,1972,hg/ha,8305,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1973,1973,hg/ha,6667,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1974,1974,hg/ha,6818,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1975,1975,hg/ha,6923,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1976,1976,hg/ha,7000,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1977,1977,hg/ha,6545,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1978,1978,hg/ha,7500,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1979,1979,hg/ha,7480,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1980,1980,hg/ha,6641,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1981,1981,hg/ha,6328,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1982,1982,hg/ha,6724,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1983,1983,hg/ha,7373,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1984,1984,hg/ha,7661,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1985,1985,hg/ha,7456,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1986,1986,hg/ha,7486,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1987,1987,hg/ha,7880,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1988,1988,hg/ha,7237,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1989,1989,hg/ha,6438,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1990,1990,hg/ha,6817,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1991,1991,hg/ha,7342,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1992,1992,hg/ha,7019,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1993,1993,hg/ha,7447,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1994,1994,hg/ha,7260,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1995,1995,hg/ha,7294,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1996,1996,hg/ha,7260,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1997,1997,hg/ha,7282,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1998,1998,hg/ha,7129,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,1999,1999,hg/ha,8233,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,2000,2000,hg/ha,7684,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,2001,2001,hg/ha,8233,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,2002,2002,hg/ha,7153,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,2003,2003,hg/ha,7346,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,2004,2004,hg/ha,7268,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,2005,2005,hg/ha,7357,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,191,Chick peas,2006,2006,hg/ha,7669,Fc,Calculated data
