Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1961,1961,hg/ha,5000,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1962,1962,hg/ha,5000,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1963,1963,hg/ha,5000,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1964,1964,hg/ha,5000,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1965,1965,hg/ha,5000,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1966,1966,hg/ha,4948,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1967,1967,hg/ha,4948,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1968,1968,hg/ha,4948,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1969,1969,hg/ha,4526,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1970,1970,hg/ha,4526,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1971,1971,hg/ha,4526,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1972,1972,hg/ha,4327,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1973,1973,hg/ha,4327,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1974,1974,hg/ha,4327,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1975,1975,hg/ha,4361,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1976,1976,hg/ha,4679,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1977,1977,hg/ha,6150,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1978,1978,hg/ha,5036,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1979,1979,hg/ha,5084,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1980,1980,hg/ha,5698,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1981,1981,hg/ha,5933,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1982,1982,hg/ha,5008,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1983,1983,hg/ha,6400,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1984,1984,hg/ha,6053,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1985,1985,hg/ha,5265,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1986,1986,hg/ha,5320,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1987,1987,hg/ha,4622,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1988,1988,hg/ha,5441,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1989,1989,hg/ha,3960,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1990,1990,hg/ha,5912,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1991,1991,hg/ha,4797,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1992,1992,hg/ha,4632,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1993,1993,hg/ha,4117,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1994,1994,hg/ha,3589,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1995,1995,hg/ha,3667,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1996,1996,hg/ha,4039,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1997,1997,hg/ha,4253,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1998,1998,hg/ha,4381,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",1999,1999,hg/ha,4709,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2000,2000,hg/ha,4840,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2001,2001,hg/ha,4303,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2002,2002,hg/ha,2968,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2003,2003,hg/ha,5345,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2004,2004,hg/ha,5531,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2005,2005,hg/ha,5844,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2006,2006,hg/ha,5681,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2007,2007,hg/ha,7013,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2008,2008,hg/ha,6575,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2009,2009,hg/ha,6844,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2010,2010,hg/ha,7367,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2011,2011,hg/ha,7747,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2012,2012,hg/ha,7746,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2013,2013,hg/ha,7840,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2014,2014,hg/ha,7909,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2015,2015,hg/ha,7993,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2016,2016,hg/ha,7149,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2017,2017,hg/ha,9890,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2018,2018,hg/ha,9610,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2019,2019,hg/ha,9124,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,711,"Anise, badian, fennel, coriander",2020,2020,hg/ha,9256,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,515,Apples,1961,1961,hg/ha,41573,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,515,Apples,1962,1962,hg/ha,41558,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,515,Apples,1963,1963,hg/ha,41543,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,515,Apples,1964,1964,hg/ha,41509,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,515,Apples,1965,1965,hg/ha,41475,Fc,Calculated data
