Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1961,1961,ha,62727,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1962,1962,ha,64346,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1963,1963,ha,72035,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1964,1964,ha,67583,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1965,1965,ha,66369,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1966,1966,ha,68000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1967,1967,ha,70800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1968,1968,ha,68400,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1969,1969,ha,71600,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1970,1970,ha,90000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1971,1971,ha,100000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1972,1972,ha,120000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1973,1973,ha,150000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1974,1974,ha,180000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1975,1975,ha,200000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1976,1976,ha,250000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1977,1977,ha,291000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1978,1978,ha,293000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1979,1979,ha,295000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1980,1980,ha,289000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1981,1981,ha,285000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1982,1982,ha,248000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1983,1983,ha,240000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1984,1984,ha,240400,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1985,1985,ha,233400,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1986,1986,ha,222500,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1987,1987,ha,212700,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1988,1988,ha,216308,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1989,1989,ha,215297,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1990,1990,ha,209085,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1991,1991,ha,210078,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1992,1992,ha,208915,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1993,1993,ha,207444,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1994,1994,ha,207600,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1995,1995,ha,207600,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1996,1996,ha,206000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1997,1997,ha,206347,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1998,1998,ha,205775,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,1999,1999,ha,205485,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2000,2000,ha,166802,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2001,2001,ha,164372,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2002,2002,ha,157085,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2003,2003,ha,154187,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2004,2004,ha,154590,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2005,2005,ha,153831,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2006,2006,ha,134635,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2007,2007,ha,137553,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2008,2008,ha,72581,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2009,2009,ha,70952,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2010,2010,ha,77287,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2011,2011,ha,82969,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2012,2012,ha,86248,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2013,2013,ha,89840,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2014,2014,ha,124617,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2015,2015,ha,145492,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2016,2016,ha,154515,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2017,2017,ha,154746,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2018,2018,ha,155963,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2019,2019,ha,142418,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,201,Lentils,2020,2020,ha,141282,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1961,1961,ha,791149,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1962,1962,ha,770915,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1963,1963,ha,767273,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1964,1964,ha,785300,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1965,1965,ha,840100,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1966,1966,ha,843400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1967,1967,ha,829100,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1968,1968,ha,751700,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1969,1969,ha,776800,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1970,1970,ha,762800,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1971,1971,ha,744000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1972,1972,ha,800100,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1973,1973,ha,833600,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1974,1974,ha,925100,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1975,1975,ha,952700,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1976,1976,ha,936600,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1977,1977,ha,853300,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1978,1978,ha,880700,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1979,1979,ha,1018100,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1980,1980,ha,848800,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1981,1981,ha,934900,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1982,1982,ha,945200,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1983,1983,ha,996400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1984,1984,ha,943100,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1985,1985,ha,982500,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1986,1986,ha,1090700,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1987,1987,ha,1087000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1988,1988,ha,1040300,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1989,1989,ha,1081100,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1990,1990,ha,1111800,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1991,1991,ha,1187800,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1992,1992,ha,1189100,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1993,1993,ha,1203900,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1994,1994,ha,1183400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1995,1995,ha,1155900,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1996,1996,ha,1255400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1997,1997,ha,1369400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1998,1998,ha,1288300,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,1999,1999,ha,1388500,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2000,2000,ha,1461600,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2001,2001,ha,1477800,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2002,2002,ha,1470000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2003,2003,ha,1380000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2004,2004,ha,1400000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2005,2005,ha,1470000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2006,2006,ha,1510000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2007,2007,ha,1470000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2008,2008,ha,1310000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2009,2009,ha,1375900,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2010,2010,ha,1479400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2011,2011,ha,1597400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2012,2012,ha,1562000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2013,2013,ha,1423000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2014,2014,ha,1341000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2015,2015,ha,1469000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2016,2016,ha,1276000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2017,2017,ha,1461140,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2018,2018,ha,1549210,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2019,2019,ha,1362720,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,201,Lentils,2020,2020,ha,1353912,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1961,1961,ha,78105,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1962,1962,ha,71468,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1963,1963,ha,98663,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1964,1964,ha,96761,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1965,1965,ha,66248,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1966,1966,ha,58801,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1967,1967,ha,83366,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1968,1968,ha,78308,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1969,1969,ha,69081,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1970,1970,ha,65843,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1971,1971,ha,60987,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1972,1972,ha,64000,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1973,1973,ha,77966,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1974,1974,ha,95909,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1975,1975,ha,75388,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1976,1976,ha,72918,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1977,1977,ha,79512,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1978,1978,ha,89512,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1979,1979,ha,106101,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1980,1980,ha,86373,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1981,1981,ha,72713,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1982,1982,ha,74038,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1983,1983,ha,82298,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1984,1984,ha,48820,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1985,1985,ha,49105,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1986,1986,ha,57446,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1987,1987,ha,80811,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1988,1988,ha,75969,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1989,1989,ha,75504,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1990,1990,ha,67918,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,201,Lentils,1991,1991,ha,63400,,Official data
