Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1961,1961,tonnes,42672,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1962,1962,tonnes,47752,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1963,1963,tonnes,48768,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1964,1964,tonnes,47752,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1965,1965,tonnes,44704,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1966,1966,tonnes,46700,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1967,1967,tonnes,49800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1968,1968,tonnes,47800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1969,1969,tonnes,51800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1970,1970,tonnes,63000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1971,1971,tonnes,69000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1972,1972,tonnes,83000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1973,1973,tonnes,104000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1974,1974,tonnes,124000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1975,1975,tonnes,138000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1976,1976,tonnes,173000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1977,1977,tonnes,172000,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,201,Lentils,1978,1978,tonnes,175000,F,FAO estimate
