Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1961,1961,hg/ha,6803,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1962,1962,hg/ha,7421,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1963,1963,hg/ha,6770,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1964,1964,hg/ha,7066,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1965,1965,hg/ha,6736,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1966,1966,hg/ha,6868,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1967,1967,hg/ha,7034,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1968,1968,hg/ha,6988,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1969,1969,hg/ha,7235,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1970,1970,hg/ha,7000,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1971,1971,hg/ha,6900,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1972,1972,hg/ha,6917,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1973,1973,hg/ha,6933,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1974,1974,hg/ha,6889,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1975,1975,hg/ha,6900,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1976,1976,hg/ha,6920,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1977,1977,hg/ha,5911,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1978,1978,hg/ha,5973,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1979,1979,hg/ha,5966,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1980,1980,hg/ha,5848,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1981,1981,hg/ha,5930,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1982,1982,hg/ha,6492,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1983,1983,hg/ha,6125,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1984,1984,hg/ha,6705,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1985,1985,hg/ha,7035,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1986,1986,hg/ha,7173,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1987,1987,hg/ha,7005,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1988,1988,hg/ha,7337,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1989,1989,hg/ha,7341,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1990,1990,hg/ha,7419,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1991,1991,hg/ha,7487,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1992,1992,hg/ha,7315,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1993,1993,hg/ha,7878,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1994,1994,hg/ha,8092,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1995,1995,hg/ha,8090,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1996,1996,hg/ha,8250,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1997,1997,hg/ha,8263,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1998,1998,hg/ha,7907,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,1999,1999,hg/ha,8045,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2000,2000,hg/ha,7674,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2001,2001,hg/ha,7666,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2002,2002,hg/ha,7321,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2003,2003,hg/ha,7523,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2004,2004,hg/ha,7905,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2005,2005,hg/ha,7870,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2006,2006,hg/ha,8569,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2007,2007,hg/ha,8492,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2008,2008,hg/ha,9856,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2009,2009,hg/ha,8532,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2010,2010,hg/ha,9199,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2011,2011,hg/ha,9695,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2012,2012,hg/ha,9290,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2013,2013,hg/ha,10352,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2014,2014,hg/ha,12599,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2015,2015,hg/ha,11496,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2016,2016,hg/ha,10240,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2017,2017,hg/ha,10911,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2018,2018,hg/ha,11325,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2019,2019,hg/ha,12315,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,201,Lentils,2020,2020,hg/ha,12553,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1961,1961,hg/ha,4533,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1962,1962,hg/ha,4415,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1963,1963,hg/ha,4555,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1964,1964,hg/ha,3680,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1965,1965,hg/ha,4761,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1966,1966,hg/ha,4374,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1967,1967,hg/ha,3472,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1968,1968,hg/ha,5103,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1969,1969,hg/ha,5149,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1970,1970,hg/ha,5020,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1971,1971,hg/ha,4987,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1972,1972,hg/ha,5196,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1973,1973,hg/ha,4469,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1974,1974,hg/ha,4395,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1975,1975,hg/ha,4798,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1976,1976,hg/ha,4919,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1977,1977,hg/ha,4612,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1978,1978,hg/ha,4360,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1979,1979,hg/ha,4392,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1980,1980,hg/ha,3774,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1981,1981,hg/ha,4976,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1982,1982,hg/ha,5253,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1983,1983,hg/ha,4905,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1984,1984,hg/ha,5659,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1985,1985,hg/ha,5568,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1986,1986,hg/ha,6074,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1987,1987,hg/ha,6065,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1988,1988,hg/ha,6347,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1989,1989,hg/ha,6786,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1990,1990,hg/ha,6352,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1991,1991,hg/ha,7168,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1992,1992,hg/ha,6742,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1993,1993,hg/ha,6569,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1994,1994,hg/ha,6321,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1995,1995,hg/ha,6781,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1996,1996,hg/ha,5685,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1997,1997,hg/ha,7025,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1998,1998,hg/ha,6240,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,1999,1999,hg/ha,6754,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,2000,2000,hg/ha,7382,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,2001,2001,hg/ha,6193,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,2002,2002,hg/ha,6629,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,2003,2003,hg/ha,6328,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,2004,2004,hg/ha,7413,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,2005,2005,hg/ha,6763,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,2006,2006,hg/ha,6266,Fc,Calculated data
QCL,Crops and livestock products,100,India,5419,Yield,201,Lentils,2007,2007,hg/ha,6190,Fc,Calculated data
