Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1961,1961,ha,22300,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1962,1962,ha,23500,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1963,1963,ha,25500,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1964,1964,ha,25500,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1965,1965,ha,27500,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1966,1966,ha,28300,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1967,1967,ha,34400,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1968,1968,ha,34400,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1969,1969,ha,33200,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1970,1970,ha,32800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1971,1971,ha,33200,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1972,1972,ha,30800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1973,1973,ha,31160,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1974,1974,ha,30916,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1975,1975,ha,31145,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1976,1976,ha,33172,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1977,1977,ha,31912,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1978,1978,ha,33036,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1979,1979,ha,31535,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1980,1980,ha,32051,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1981,1981,ha,30099,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,403,"Onions, dry",1982,1982,ha,33528,,Official data
