Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1961,1961,tonnes,136500,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1962,1962,tonnes,130600,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1963,1963,tonnes,140300,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1964,1964,tonnes,132100,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1965,1965,tonnes,145200,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1966,1966,tonnes,150400,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1967,1967,tonnes,198100,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1968,1968,tonnes,198100,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1969,1969,tonnes,185900,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1970,1970,tonnes,181900,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1971,1971,tonnes,178800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1972,1972,tonnes,159500,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1973,1973,tonnes,155455,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1974,1974,tonnes,148916,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1975,1975,tonnes,145578,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1976,1976,tonnes,149975,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1977,1977,tonnes,138347,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1978,1978,tonnes,147732,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1979,1979,tonnes,135527,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1980,1980,tonnes,141652,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1981,1981,tonnes,95088,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1982,1982,tonnes,131607,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1983,1983,tonnes,140438,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1984,1984,tonnes,135878,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1985,1985,tonnes,140695,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1986,1986,tonnes,136615,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1987,1987,tonnes,130125,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1988,1988,tonnes,140545,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1989,1989,tonnes,138589,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1990,1990,tonnes,147845,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1991,1991,tonnes,143305,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1992,1992,tonnes,144040,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1993,1993,tonnes,139880,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1994,1994,tonnes,144170,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1995,1995,tonnes,144000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1996,1996,tonnes,138190,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1997,1997,tonnes,141835,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1998,1998,tonnes,138430,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",1999,1999,tonnes,131000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",2000,2000,tonnes,134000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",2001,2001,tonnes,127000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",2002,2002,tonnes,150000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",2003,2003,tonnes,153455,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",2004,2004,tonnes,272230,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,403,"Onions, dry",2005,2005,tonnes,589410,,Official data
