Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1961,1961,hg/ha,61211,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1962,1962,hg/ha,55574,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1963,1963,hg/ha,55020,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1964,1964,hg/ha,51804,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1965,1965,hg/ha,52800,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1966,1966,hg/ha,53145,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1967,1967,hg/ha,57587,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1968,1968,hg/ha,57587,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1969,1969,hg/ha,55994,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1970,1970,hg/ha,55457,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1971,1971,hg/ha,53855,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1972,1972,hg/ha,51786,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1973,1973,hg/ha,49889,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1974,1974,hg/ha,48168,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1975,1975,hg/ha,46742,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1976,1976,hg/ha,45211,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1977,1977,hg/ha,43353,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1978,1978,hg/ha,44718,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1979,1979,hg/ha,42977,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1980,1980,hg/ha,44196,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1981,1981,hg/ha,31592,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1982,1982,hg/ha,39253,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1983,1983,hg/ha,41461,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1984,1984,hg/ha,40714,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1985,1985,hg/ha,41310,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1986,1986,hg/ha,40449,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1987,1987,hg/ha,39319,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1988,1988,hg/ha,41435,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1989,1989,hg/ha,40718,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1990,1990,hg/ha,41960,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1991,1991,hg/ha,41225,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1992,1992,hg/ha,41836,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1993,1993,hg/ha,40911,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1994,1994,hg/ha,41761,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1995,1995,hg/ha,42148,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1996,1996,hg/ha,40607,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1997,1997,hg/ha,41224,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1998,1998,hg/ha,40178,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",1999,1999,hg/ha,39477,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2000,2000,hg/ha,39419,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2001,2001,hg/ha,37353,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2002,2002,hg/ha,40714,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2003,2003,hg/ha,40754,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2004,2004,hg/ha,52384,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2005,2005,hg/ha,68196,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2006,2006,hg/ha,66412,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2007,2007,hg/ha,69471,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2008,2008,hg/ha,71044,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2009,2009,hg/ha,68228,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2010,2010,hg/ha,74182,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2011,2011,hg/ha,82189,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2012,2012,hg/ha,85415,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,403,"Onions, dry",2013,2013,hg/ha,86935,Fc,Calculated data
