Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1961,1961,ha,3200,F,FAO estimate
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1962,1962,ha,3400,F,FAO estimate
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1963,1963,ha,3600,F,FAO estimate
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1964,1964,ha,3800,F,FAO estimate
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1965,1965,ha,4000,F,FAO estimate
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1966,1966,ha,4100,F,FAO estimate
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1967,1967,ha,4200,F,FAO estimate
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1968,1968,ha,4400,F,FAO estimate
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1969,1969,ha,4600,F,FAO estimate
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1970,1970,ha,4800,F,FAO estimate
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1971,1971,ha,5000,F,FAO estimate
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1972,1972,ha,5200,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1973,1973,ha,5400,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1974,1974,ha,5800,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1975,1975,ha,5900,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1976,1976,ha,6100,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1977,1977,ha,6200,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1978,1978,ha,6300,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1979,1979,ha,6300,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1980,1980,ha,6400,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1981,1981,ha,6408,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1982,1982,ha,6459,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1983,1983,ha,6526,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1984,1984,ha,6700,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1985,1985,ha,6900,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1986,1986,ha,7000,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1987,1987,ha,7200,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1988,1988,ha,7300,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1989,1989,ha,7500,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1990,1990,ha,7500,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1991,1991,ha,7552,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1992,1992,ha,8623,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1993,1993,ha,9087,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1994,1994,ha,10258,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1995,1995,ha,10320,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1996,1996,ha,10454,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1997,1997,ha,10600,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1998,1998,ha,10666,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",1999,1999,ha,10771,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2000,2000,ha,10732,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2001,2001,ha,10984,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2002,2002,ha,9560,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2003,2003,ha,9231,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2004,2004,ha,10120,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2005,2005,ha,10277,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2006,2006,ha,10362,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2007,2007,ha,10817,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2008,2008,ha,11060,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2009,2009,ha,11000,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2010,2010,ha,10939,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2011,2011,ha,10790,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2012,2012,ha,10809,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2013,2013,ha,10574,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2014,2014,ha,10652,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2015,2015,ha,10624,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2016,2016,ha,10465,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2017,2017,ha,10268,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2018,2018,ha,9602,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2019,2019,ha,9010,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2020,2020,ha,8798,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1961,1961,ha,1400,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1962,1962,ha,1900,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1963,1963,ha,3200,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1964,1964,ha,3800,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1965,1965,ha,4200,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1966,1966,ha,3000,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1967,1967,ha,3400,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1968,1968,ha,3600,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1969,1969,ha,3844,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1970,1970,ha,4168,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1971,1971,ha,4520,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1972,1972,ha,5060,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1973,1973,ha,6167,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1974,1974,ha,7156,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1975,1975,ha,8021,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1976,1976,ha,8784,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1977,1977,ha,9719,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1978,1978,ha,10251,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1979,1979,ha,10854,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1980,1980,ha,11374,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1981,1981,ha,11872,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1982,1982,ha,12931,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1983,1983,ha,13304,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1984,1984,ha,14832,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1985,1985,ha,17422,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1986,1986,ha,18491,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1987,1987,ha,19098,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1988,1988,ha,21800,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1989,1989,ha,22390,,Official data
QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,1990,1990,ha,22800,,Official data
