Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1961,1961,hg/ha,28125,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1962,1962,hg/ha,27941,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1963,1963,hg/ha,27778,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1964,1964,hg/ha,27632,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1965,1965,hg/ha,27500,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1966,1966,hg/ha,28049,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1967,1967,hg/ha,28571,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1968,1968,hg/ha,28409,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1969,1969,hg/ha,28261,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1970,1970,hg/ha,29167,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1971,1971,hg/ha,30000,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1972,1972,hg/ha,29615,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1973,1973,hg/ha,35185,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1974,1974,hg/ha,46724,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1975,1975,hg/ha,37458,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1976,1976,hg/ha,36393,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1977,1977,hg/ha,39032,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1978,1978,hg/ha,35397,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1979,1979,hg/ha,36508,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1980,1980,hg/ha,36875,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1981,1981,hg/ha,33037,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1982,1982,hg/ha,36063,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1983,1983,hg/ha,41485,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1984,1984,hg/ha,41791,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1985,1985,hg/ha,41304,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1986,1986,hg/ha,41714,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1987,1987,hg/ha,40694,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1988,1988,hg/ha,40822,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1989,1989,hg/ha,40133,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1990,1990,hg/ha,41200,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1991,1991,hg/ha,42903,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1992,1992,hg/ha,44421,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1993,1993,hg/ha,44066,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1994,1994,hg/ha,44056,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1995,1995,hg/ha,47477,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1996,1996,hg/ha,47213,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1997,1997,hg/ha,46226,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1998,1998,hg/ha,46053,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",1999,1999,hg/ha,46435,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",2000,2000,hg/ha,30130,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",2001,2001,hg/ha,30259,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",2002,2002,hg/ha,27630,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",2003,2003,hg/ha,25661,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",2004,2004,hg/ha,23640,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",2005,2005,hg/ha,22506,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",2006,2006,hg/ha,22528,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",2007,2007,hg/ha,21616,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",2008,2008,hg/ha,24063,Fc,Calculated data
QCL,Crops and livestock products,165,Pakistan,5419,Yield,221,"Almonds, with shell",2009,2009,hg/ha,24000,Fc,Calculated data
