Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1961,1961,ha,55847,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1962,1962,ha,55847,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1963,1963,ha,57871,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1964,1964,ha,55442,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1965,1965,ha,55442,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1966,1966,ha,60700,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1967,1967,ha,70400,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1968,1968,ha,76100,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1969,1969,ha,84200,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1970,1970,ha,85400,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1971,1971,ha,86600,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1972,1972,ha,76236,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1973,1973,ha,79554,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1974,1974,ha,80058,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1975,1975,ha,93864,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1976,1976,ha,95932,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1977,1977,ha,77377,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1978,1978,ha,90031,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1979,1979,ha,96676,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1980,1980,ha,96482,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1981,1981,ha,102128,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1982,1982,ha,107665,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1983,1983,ha,110085,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1984,1984,ha,110194,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1985,1985,ha,111280,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1986,1986,ha,108410,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1987,1987,ha,106360,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1988,1988,ha,123393,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1989,1989,ha,111312,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1990,1990,ha,116582,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1991,1991,ha,123844,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1992,1992,ha,127796,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1993,1993,ha,129605,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1994,1994,ha,131245,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1995,1995,ha,131500,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1996,1996,ha,132300,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1997,1997,ha,133971,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1998,1998,ha,136277,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,1999,1999,ha,244837,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2000,2000,ha,243219,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2001,2001,ha,248988,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2002,2002,ha,237600,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2003,2003,ha,245318,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2004,2004,ha,270740,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2005,2005,ha,326291,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2006,2006,ha,373200,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2007,2007,ha,345000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2008,2008,ha,402000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2009,2009,ha,395000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2010,2010,ha,435000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2011,2011,ha,460197,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2012,2012,ha,430446,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2013,2013,ha,443934,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2014,2014,ha,461710,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2015,2015,ha,471013,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2016,2016,ha,475488,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2017,2017,ha,499725,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2018,2018,ha,477419,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2019,2019,ha,468395,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,116,Potatoes,2020,2020,ha,461351,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1961,1961,ha,375000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1962,1962,ha,365000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1963,1963,ha,413000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1964,1964,ha,415000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1965,1965,ha,429000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1966,1966,ha,479000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1967,1967,ha,473300,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1968,1968,ha,501400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1969,1969,ha,524400,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1970,1970,ha,496000,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1971,1971,ha,481900,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1972,1972,ha,491900,,Official data
QCL,Crops and livestock products,100,India,5312,Area harvested,116,Potatoes,1973,1973,ha,504600,,Official data
