Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1961,1961,tonnes,343408,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1962,1962,tonnes,336296,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1963,1963,tonnes,362712,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1964,1964,tonnes,324104,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1965,1965,tonnes,401320,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1966,1966,tonnes,493800,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1967,1967,tonnes,600500,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1968,1968,tonnes,712300,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1969,1969,tonnes,799600,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1970,1970,tonnes,864700,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1971,1971,tonnes,862600,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1972,1972,tonnes,752797,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1973,1973,tonnes,758710,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1974,1974,tonnes,730067,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1975,1975,tonnes,880372,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1976,1976,tonnes,903025,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1977,1977,tonnes,735336,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1978,1978,tonnes,913846,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1979,1979,tonnes,909319,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1980,1980,tonnes,917120,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1981,1981,tonnes,998909,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1982,1982,tonnes,1095151,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1983,1983,tonnes,1131098,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1984,1984,tonnes,1147686,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1985,1985,tonnes,1159385,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1986,1986,tonnes,1102790,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1987,1987,tonnes,1069295,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1988,1988,tonnes,1275650,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1989,1989,tonnes,1089298,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1990,1990,tonnes,1065680,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1991,1991,tonnes,1236805,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1992,1992,tonnes,1379320,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1993,1993,tonnes,1384010,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1994,1994,tonnes,1438055,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1995,1995,tonnes,1468400,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,116,Potatoes,1996,1996,tonnes,1491560,,Official data
