Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1961,1961,hg/ha,61491,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1962,1962,hg/ha,60217,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1963,1963,hg/ha,62676,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1964,1964,hg/ha,58458,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1965,1965,hg/ha,72386,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1966,1966,hg/ha,81351,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1967,1967,hg/ha,85298,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1968,1968,hg/ha,93601,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1969,1969,hg/ha,94964,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1970,1970,hg/ha,101253,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1971,1971,hg/ha,99607,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1972,1972,hg/ha,98746,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1973,1973,hg/ha,95370,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1974,1974,hg/ha,91192,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1975,1975,hg/ha,93792,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1976,1976,hg/ha,94132,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1977,1977,hg/ha,95033,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1978,1978,hg/ha,101503,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1979,1979,hg/ha,94058,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1980,1980,hg/ha,95056,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1981,1981,hg/ha,97810,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1982,1982,hg/ha,101718,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1983,1983,hg/ha,102748,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1984,1984,hg/ha,104151,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1985,1985,hg/ha,104186,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1986,1986,hg/ha,101724,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1987,1987,hg/ha,100535,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1988,1988,hg/ha,103381,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1989,1989,hg/ha,97860,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1990,1990,hg/ha,91410,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1991,1991,hg/ha,99868,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1992,1992,hg/ha,107931,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1993,1993,hg/ha,106787,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1994,1994,hg/ha,109570,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1995,1995,hg/ha,111665,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1996,1996,hg/ha,112741,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1997,1997,hg/ha,112551,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1998,1998,hg/ha,113972,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,116,Potatoes,1999,1999,hg/ha,112810,Fc,Calculated data
