Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1961,1961,ha,8071,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1962,1962,ha,7476,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1963,1963,ha,8099,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1964,1964,ha,8190,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1965,1965,ha,8043,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1966,1966,ha,7987,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1967,1967,ha,8015,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1968,1968,ha,7931,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1969,1969,ha,8486,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1970,1970,ha,8529,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1971,1971,ha,8581,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1972,1972,ha,7373,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1973,1973,ha,6859,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1974,1974,ha,6835,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1975,1975,ha,7972,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1976,1976,ha,7752,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1977,1977,ha,7786,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1978,1978,ha,8227,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1979,1979,ha,8549,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1980,1980,ha,8763,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1981,1981,ha,8753,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1982,1982,ha,8775,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1983,1983,ha,9250,,Official data
QCL,Crops and livestock products,16,Bangladesh,5312,Area harvested,388,Tomatoes,1984,1984,ha,9530,,Official data
