Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1961,1961,tonnes,48905,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1962,1962,tonnes,46771,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1963,1963,tonnes,48048,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1964,1964,tonnes,51123,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1965,1965,tonnes,55221,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1966,1966,tonnes,56759,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1967,1967,tonnes,59144,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1968,1968,tonnes,67251,F,FAO estimate
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1969,1969,tonnes,77596,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1970,1970,tonnes,75559,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1971,1971,tonnes,73151,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1972,1972,tonnes,61253,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1973,1973,tonnes,53180,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1974,1974,tonnes,52545,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1975,1975,tonnes,61430,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1976,1976,tonnes,58214,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1977,1977,tonnes,53399,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1978,1978,tonnes,61065,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1979,1979,tonnes,64722,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1980,1980,tonnes,66007,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1981,1981,tonnes,64971,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1982,1982,tonnes,65290,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1983,1983,tonnes,69545,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1984,1984,tonnes,72335,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1985,1985,tonnes,71665,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1986,1986,tonnes,71185,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1987,1987,tonnes,72345,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1988,1988,tonnes,81005,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1989,1989,tonnes,83569,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1990,1990,tonnes,89170,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1991,1991,tonnes,89335,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1992,1992,tonnes,86015,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1993,1993,tonnes,85750,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1994,1994,tonnes,86470,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1995,1995,tonnes,87275,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1996,1996,tonnes,89265,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1997,1997,tonnes,93075,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1998,1998,tonnes,93940,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,1999,1999,tonnes,98000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2000,2000,tonnes,100000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2001,2001,tonnes,100000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2002,2002,tonnes,103000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2003,2003,tonnes,101945,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2004,2004,tonnes,119935,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2005,2005,tonnes,122440,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2006,2006,tonnes,131280,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2007,2007,tonnes,136935,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2008,2008,tonnes,143058,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2009,2009,tonnes,150720,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2010,2010,tonnes,190213,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2011,2011,tonnes,232459,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2012,2012,tonnes,255430,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2013,2013,tonnes,251000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2014,2014,tonnes,260000,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2015,2015,tonnes,413610,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2016,2016,tonnes,368121,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2017,2017,tonnes,388725,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2018,2018,tonnes,385038,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2019,2019,tonnes,387653,,Official data
QCL,Crops and livestock products,16,Bangladesh,5510,Production,388,Tomatoes,2020,2020,tonnes,415494,,Official data
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1961,1961,tonnes,464000,,Official data
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1962,1962,tonnes,480000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1963,1963,tonnes,495000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1964,1964,tonnes,510000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1965,1965,tonnes,525000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1966,1966,tonnes,540000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1967,1967,tonnes,560000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1968,1968,tonnes,580000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1969,1969,tonnes,600000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1970,1970,tonnes,620000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1971,1971,tonnes,640000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1972,1972,tonnes,650000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1973,1973,tonnes,660000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1974,1974,tonnes,750000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1975,1975,tonnes,830000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1976,1976,tonnes,1050000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1977,1977,tonnes,1020000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1978,1978,tonnes,950000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1979,1979,tonnes,1300000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1980,1980,tonnes,1500000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1981,1981,tonnes,1800000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1982,1982,tonnes,1750000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1983,1983,tonnes,2000000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1984,1984,tonnes,2100000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1985,1985,tonnes,2300000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1986,1986,tonnes,2280000,F,FAO estimate
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1987,1987,tonnes,2386776,,Official data
QCL,Crops and livestock products,100,India,5510,Production,388,Tomatoes,1988,1988,tonnes,3103301,,Official data
