Domain Code,Domain,Area Code (FAO),Country,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1961,1961,hg/ha,60593,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1962,1962,hg/ha,62562,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1963,1963,hg/ha,59326,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1964,1964,hg/ha,62421,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1965,1965,hg/ha,68657,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1966,1966,hg/ha,71064,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1967,1967,hg/ha,73792,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1968,1968,hg/ha,84795,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1969,1969,hg/ha,91440,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1970,1970,hg/ha,88591,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1971,1971,hg/ha,85248,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1972,1972,hg/ha,83077,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1973,1973,hg/ha,77533,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1974,1974,hg/ha,76876,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1975,1975,hg/ha,77057,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1976,1976,hg/ha,75095,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1977,1977,hg/ha,68583,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1978,1978,hg/ha,74225,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1979,1979,hg/ha,75707,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1980,1980,hg/ha,75325,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1981,1981,hg/ha,74227,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1982,1982,hg/ha,74405,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1983,1983,hg/ha,75184,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1984,1984,hg/ha,75902,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1985,1985,hg/ha,75058,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1986,1986,hg/ha,73349,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1987,1987,hg/ha,72818,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1988,1988,hg/ha,74221,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1989,1989,hg/ha,75071,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1990,1990,hg/ha,76188,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1991,1991,hg/ha,76283,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1992,1992,hg/ha,74189,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1993,1993,hg/ha,73574,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1994,1994,hg/ha,73429,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1995,1995,hg/ha,73371,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1996,1996,hg/ha,73270,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1997,1997,hg/ha,73992,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1998,1998,hg/ha,71897,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,1999,1999,hg/ha,69189,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,2000,2000,hg/ha,68639,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,2001,2001,hg/ha,66733,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,2002,2002,hg/ha,66953,Fc,Calculated data
QCL,Crops and livestock products,16,Bangladesh,5419,Yield,388,Tomatoes,2003,2003,hg/ha,65416,Fc,Calculated data
